symbol,entry_time,exit_time,exit_time_15m,side,setup,matched_rule,r_multiple,r15m,hours_to_expiry,expiry_blocked,applied_risk_pct,pretp1,taken,pnl_krw
ADAUSDT,2022-02-09 16:00:00+00:00,2022-02-09 20:00:00+00:00,2022-02-10 03:30:00+00:00,short,a_mss+a_room+a_volume,a_mss+a_room+a_volume||up||short,0.1328804630593141,2.188403028095732,376.0,False,1.4024953958902748,False,True,153461.0
AVAXUSDT,2022-02-22 00:00:00+00:00,2022-02-22 04:00:00+00:00,2022-02-22 14:00:00+00:00,long,a_fvg_absent+a_ob+a_room+a_trend_counter+a_vol_expansion,a_fvg_absent+a_ob+a_room+a_trend_counter+a_vol_expansion||down||long,0.2049939448801168,2.109798823683918,80.0,False,6.000265304936625,False,True,652395.0
BTCUSDT,2022-02-24 08:00:00+00:00,2022-02-24 20:00:00+00:00,2022-02-24 20:00:00+00:00,short,a_mss+a_room+a_volume,a_mss+a_room+a_volume||down||short,-1.0113445912899826,-1.0113445912899826,24.0,True,1.4024953958902748,True,False,0.0
ETHUSDT,2022-02-24 08:00:00+00:00,2022-02-24 20:00:00+00:00,2022-02-24 20:00:00+00:00,short,a_mss+a_room+a_volume,a_mss+a_room+a_volume||down||short,-1.0099580705574176,-1.0099580705574176,24.0,True,1.4024953958902748,True,False,0.0
SOLUSDT,2022-02-24 08:00:00+00:00,2022-03-01 00:00:00+00:00,2022-03-01 00:00:00+00:00,short,a_room+a_score_ge13+a_vol_expansion+a_volume,a_room+a_score_ge13+a_vol_expansion+a_volume||down||short,-1.007580673105455,-1.007580673105455,24.0,True,0.0,True,False,0.0
BNBUSDT,2022-02-24 12:00:00+00:00,2022-02-26 00:00:00+00:00,2022-02-26 00:30:00+00:00,short,a_room+a_score_ge13+a_vol_expansion+a_volume,a_room+a_score_ge13+a_vol_expansion+a_volume||down||short,-1.0091243890766697,-1.0091243890766697,20.0,True,0.0,True,False,0.0
LINKUSDT,2022-02-24 16:00:00+00:00,2022-02-26 00:00:00+00:00,2022-02-26 00:30:00+00:00,short,a_room+a_score_ge13+a_vol_expansion+a_volume,a_room+a_score_ge13+a_vol_expansion+a_volume||down||short,-1.006009681201794,-1.0060096812017938,16.0,True,0.0,True,False,0.0
ADAUSDT,2022-02-24 16:00:00+00:00,2022-02-28 00:00:00+00:00,2022-02-28 03:45:00+00:00,short,a_room+a_score_ge13+a_vol_expansion+a_volume,a_room+a_score_ge13+a_vol_expansion+a_volume||down||short,-0.3819366290424016,-0.3819366290424016,16.0,True,0.0,True,False,0.0
AVAXUSDT,2022-03-01 08:00:00+00:00,2022-03-03 08:00:00+00:00,2022-03-03 11:45:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,-0.1300581940414523,-0.1300581940414524,576.0,False,0.996462384418414,True,True,-10764.0
BTCUSDT,2022-03-01 08:00:00+00:00,2022-03-01 16:00:00+00:00,2022-03-01 13:15:00+00:00,long,a_trend_counter+a_vol_expansion+a_volume,a_trend_counter+a_vol_expansion+a_volume||up||long,1.6791812876213783,2.2020314419893454,576.0,False,2.4103622724368643,False,True,440849.0
BNBUSDT,2022-03-01 12:00:00+00:00,2022-03-03 12:00:00+00:00,2022-03-03 15:45:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,-0.0275027547843142,-0.0275027547843142,572.0,False,0.996462384418414,True,True,-2276.0
SOLUSDT,2022-03-02 20:00:00+00:00,2022-03-04 16:00:00+00:00,2022-03-04 19:00:00+00:00,long,a_trend_counter+a_vol_expansion+a_volume,a_trend_counter+a_vol_expansion+a_volume||up||long,-1.0093307889608207,-1.0093307889608207,540.0,False,2.4103622724368643,True,True,-212794.0
BNBUSDT,2022-03-10 12:00:00+00:00,2022-03-10 16:00:00+00:00,2022-03-10 16:00:00+00:00,long,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||up||long,-1.0778276994514482,-1.0778276994514484,356.0,False,1.056555032293037,True,True,-97034.0
SOLUSDT,2022-03-17 12:00:00+00:00,2022-03-17 20:00:00+00:00,2022-03-17 19:45:00+00:00,short,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||up||short,0.1904708457140713,0.1904708457140719,188.0,False,1.056555032293037,False,True,16952.0
XRPUSDT,2022-03-18 08:00:00+00:00,2022-03-19 08:00:00+00:00,2022-03-19 06:15:00+00:00,long,a_fvg_absent+a_room+a_volume,a_fvg_absent+a_room+a_volume||up||long,1.8019534396955408,2.07991743266978,168.0,False,1.6227227595325122,False,True,284888.0
ETHUSDT,2022-03-23 04:00:00+00:00,2022-03-24 04:00:00+00:00,2022-03-24 00:30:00+00:00,long,a_fvg_absent+a_ob+a_score_ge13+a_volume,a_fvg_absent+a_ob+a_score_ge13+a_volume||range||long,1.9865286478490407,2.1718276111739905,52.0,False,2.3594458374095173,False,True,447131.0
DOGEUSDT,2022-03-28 20:00:00+00:00,2022-03-29 16:00:00+00:00,2022-03-29 16:00:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,0.2303808341266906,0.2303808341266909,756.0,False,0.996462384418414,False,True,21058.0
AVAXUSDT,2022-03-28 20:00:00+00:00,2022-03-29 08:00:00+00:00,2022-03-29 02:45:00+00:00,long,a_fvg_absent+a_room+a_volume,a_fvg_absent+a_room+a_volume||up||long,2.9392308397035736,2.862243035537159,756.0,False,1.6227227595325122,False,True,426043.0
BNBUSDT,2022-03-31 00:00:00+00:00,2022-03-31 16:00:00+00:00,2022-03-31 16:30:00+00:00,long,a_score_ge13+a_vol_expansion+a_volume,a_score_ge13+a_vol_expansion+a_volume||up||long,-1.0265664916179966,-1.0265664916179966,704.0,False,0.0,True,False,0.0
LINKUSDT,2022-03-31 12:00:00+00:00,2022-03-31 16:00:00+00:00,2022-03-31 16:30:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,-1.0365757981007533,-1.036575798100753,692.0,False,0.996462384418414,True,True,-99365.0
XRPUSDT,2022-03-31 16:00:00+00:00,2022-04-03 08:00:00+00:00,2022-03-31 21:45:00+00:00,long,a_room+a_score_ge13+a_vol_expansion+a_volume,a_room+a_score_ge13+a_vol_expansion+a_volume||up||long,2.92362287356321,2.131783997445716,688.0,False,0.0,False,False,0.0
ADAUSDT,2022-04-02 12:00:00+00:00,2022-04-02 16:00:00+00:00,2022-04-02 18:00:00+00:00,long,a_fvg_absent+a_ob+a_score_ge13+a_volume,a_fvg_absent+a_ob+a_score_ge13+a_volume||down||long,-1.0619269317420692,-1.0619269317420692,644.0,False,2.3594458374095173,True,True,-301182.0
BNBUSDT,2022-04-02 12:00:00+00:00,2022-04-03 00:00:00+00:00,2022-04-03 01:15:00+00:00,long,a_fvg_absent+a_room+a_vol_expansion+a_volume,a_fvg_absent+a_room+a_vol_expansion+a_volume||down||long,-1.0664874357013758,-1.0664874357013765,644.0,False,2.0591703994912867,True,True,-263981.0
XRPUSDT,2022-04-06 04:00:00+00:00,2022-04-06 20:00:00+00:00,2022-04-06 11:30:00+00:00,short,a_room+a_score_ge13+a_volume,a_room+a_score_ge13+a_volume||range||short,3.729760452875521,2.548019672883993,556.0,False,1.274894730091847,False,True,372123.0
SOLUSDT,2022-04-07 08:00:00+00:00,2022-04-07 16:00:00+00:00,2022-04-07 12:30:00+00:00,long,a_fvg_absent+a_room+a_vol_expansion+a_volume,a_fvg_absent+a_room+a_vol_expansion+a_volume||down||long,1.4241309446198729,2.1083155223931325,528.0,False,2.0591703994912867,False,True,513477.0
BNBUSDT,2022-04-07 16:00:00+00:00,2022-04-09 16:00:00+00:00,2022-04-08 14:45:00+00:00,short,a_room+a_score_ge13+a_vol_expansion+a_volume,a_room+a_score_ge13+a_vol_expansion+a_volume||down||short,1.2042401718256228,0.1987511071850031,520.0,False,0.0,False,False,0.0
AVAXUSDT,2022-04-08 08:00:00+00:00,2022-04-08 20:00:00+00:00,2022-04-08 22:15:00+00:00,long,a_room+a_score_ge13+a_trend_counter,a_room+a_score_ge13+a_trend_counter||down||long,-1.024074742681245,-1.024074742681245,504.0,False,4.315614007975119,True,True,-545411.0
BTCUSDT,2022-04-10 20:00:00+00:00,2022-04-11 12:00:00+00:00,2022-04-11 13:30:00+00:00,long,a_room+a_score_ge13+a_trend_counter,a_room+a_score_ge13+a_trend_counter||down||long,-1.0364065416759152,-1.0364065416759156,444.0,False,4.315614007975119,True,True,-527584.0
BNBUSDT,2022-04-11 08:00:00+00:00,2022-04-13 08:00:00+00:00,2022-04-13 11:45:00+00:00,long,a_room+a_score_ge13+a_trend_counter,a_room+a_score_ge13+a_trend_counter||down||long,0.7143199334198599,0.7143199334198599,432.0,False,4.315614007975119,False,True,363625.0
DOGEUSDT,2022-04-11 20:00:00+00:00,2022-04-13 20:00:00+00:00,2022-04-13 23:45:00+00:00,long,a_room+a_score_ge13+a_trend_counter,a_room+a_score_ge13+a_trend_counter||down||long,0.7619503235278919,0.7619503235278883,420.0,False,4.315614007975119,False,True,370523.0
AVAXUSDT,2022-04-14 00:00:00+00:00,2022-04-16 00:00:00+00:00,2022-04-16 03:45:00+00:00,short,a_mss+a_room+a_volume,a_mss+a_room+a_volume||down||short,1.0850026022476051,1.085002602247605,368.0,False,1.4024953958902748,False,True,182638.0
DOGEUSDT,2022-04-14 20:00:00+00:00,2022-04-15 00:00:00+00:00,2022-04-15 05:15:00+00:00,short,a_room+a_score_ge13+a_volume,a_room+a_score_ge13+a_volume||range||short,0.1996769070119824,0.1996769070119809,348.0,False,1.274894730091847,False,True,30553.0
XRPUSDT,2022-04-15 00:00:00+00:00,2022-04-15 04:00:00+00:00,2022-04-15 04:00:00+00:00,short,a_room+a_score_ge13+a_volume,a_room+a_score_ge13+a_volume||range||short,-1.0251731530780452,-1.0251731530780452,344.0,False,1.274894730091847,True,True,-157266.0
LINKUSDT,2022-04-17 16:00:00+00:00,2022-04-18 04:00:00+00:00,2022-04-17 20:30:00+00:00,short,a_room+a_score_ge13+a_volume,a_room+a_score_ge13+a_volume||range||short,5.143247804090406,2.753420548977339,280.0,False,1.274894730091847,False,True,423277.0
SOLUSDT,2022-04-21 00:00:00+00:00,2022-04-21 08:00:00+00:00,2022-04-21 11:30:00+00:00,short,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||up||short,-1.031905835994293,-1.031905835994293,200.0,False,1.056555032293037,True,True,-136080.0
DOGEUSDT,2022-04-22 04:00:00+00:00,2022-04-22 08:00:00+00:00,2022-04-22 12:00:00+00:00,short,a_room+a_score_ge13+a_trend_counter,a_room+a_score_ge13+a_trend_counter||up||short,0.1679768835616441,0.1679768835616428,172.0,False,4.315614007975119,False,True,75731.0
DOGEUSDT,2022-04-26 00:00:00+00:00,2022-04-28 00:00:00+00:00,2022-04-28 03:45:00+00:00,long,a_room+a_score_ge13+a_trend_counter,a_room+a_score_ge13+a_trend_counter||down||long,-0.2937469147360713,-0.2937469147360713,80.0,False,4.315614007975119,True,True,-157461.0
BTCUSDT,2022-04-30 00:00:00+00:00,2022-05-03 08:00:00+00:00,2022-05-03 11:45:00+00:00,short,a_room+a_score_ge13+a_volume,a_room+a_score_ge13+a_volume||range||short,0.2426620242403223,0.2426620242403224,656.0,False,1.274894730091847,False,True,37939.0
BTCUSDT,2022-05-05 12:00:00+00:00,2022-05-05 16:00:00+00:00,2022-05-05 16:00:00+00:00,long,a_fvg_absent+a_room+a_volume,a_fvg_absent+a_room+a_volume||up||long,-1.1338193853070226,-1.1338193853070229,524.0,False,1.6227227595325122,True,True,-272328.0
ETHUSDT,2022-05-05 12:00:00+00:00,2022-05-05 16:00:00+00:00,2022-05-05 16:00:00+00:00,long,a_fvg_absent+a_ob+a_room+a_score_ge13+a_trend_counter,a_fvg_absent+a_ob+a_room+a_score_ge13+a_trend_counter||up||long,-1.0231863287275011,-1.023186328727501,524.0,False,3.924191004535349,True,True,-594305.0
ADAUSDT,2022-05-05 12:00:00+00:00,2022-05-07 12:00:00+00:00,2022-05-07 15:45:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,-0.6275745322476376,-0.6275745322476376,524.0,False,0.996462384418414,True,True,-92562.0
BNBUSDT,2022-05-24 20:00:00+00:00,2022-05-25 00:00:00+00:00,2022-05-25 00:00:00+00:00,short,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||range||short,-1.1461642242752454,-1.1461642242752454,60.0,False,1.056555032293037,True,True,-167628.0
DOGEUSDT,2022-06-01 16:00:00+00:00,2022-06-01 20:00:00+00:00,2022-06-01 20:00:00+00:00,long,a_fvg_absent+a_room+a_volume,a_fvg_absent+a_room+a_volume||up||long,-1.146517902813301,-1.146517902813279,544.0,False,1.6227227595325122,True,True,-300926.0
BTCUSDT,2022-06-02 00:00:00+00:00,2022-06-04 00:00:00+00:00,2022-06-04 03:45:00+00:00,long,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||up||long,-0.1342277277731755,-0.1342277277731759,536.0,False,1.056555032293037,True,True,-22512.0
LINKUSDT,2022-06-07 20:00:00+00:00,2022-06-08 00:00:00+00:00,2022-06-08 00:15:00+00:00,short,a_room+a_sweep+a_trend_counter+a_vol_expansion+a_volume,a_room+a_sweep+a_trend_counter+a_vol_expansion+a_volume||up||short,0.214407308059132,-1.036217691940868,396.0,False,4.036791654039396,False,True,-663055.0
BTCUSDT,2022-06-08 00:00:00+00:00,2022-06-10 00:00:00+00:00,2022-06-10 03:45:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,-0.040850097216522,-0.040850097216522,392.0,False,0.996462384418414,True,True,-6182.0
LINKUSDT,2022-06-11 20:00:00+00:00,2022-06-13 04:00:00+00:00,2022-06-13 00:30:00+00:00,short,a_sweep+a_trend_counter+a_vol_expansion+a_volume,a_sweep+a_trend_counter+a_vol_expansion+a_volume||down||short,2.5712975633205155,2.324025069619416,300.0,False,3.5000000000000004,False,True,1234915.0
LINKUSDT,2022-06-27 16:00:00+00:00,2022-06-27 20:00:00+00:00,2022-06-28 00:30:00+00:00,long,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||up||long,0.5599645191122076,0.5599645191122076,760.0,False,1.056555032293037,False,True,97128.0
SOLUSDT,2022-07-05 16:00:00+00:00,2022-07-05 20:00:00+00:00,2022-07-05 20:00:00+00:00,short,a_room+a_score_ge13+a_volume,a_room+a_score_ge13+a_volume||up||short,0.3341463872832377,-1.1165786127167625,568.0,False,1.274894730091847,False,True,-270668.0
AVAXUSDT,2022-07-17 20:00:00+00:00,2022-07-18 00:00:00+00:00,2022-07-18 06:00:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,0.2245995131332733,2.20667333495045,276.0,False,0.996462384418414,False,True,412141.0
AVAXUSDT,2022-07-18 04:00:00+00:00,2022-07-18 16:00:00+00:00,2022-07-18 23:45:00+00:00,short,a_room+a_sweep+a_trend_counter+a_vol_expansion+a_volume,a_room+a_sweep+a_trend_counter+a_vol_expansion+a_volume||up||short,0.2311719314079422,0.2311719314079422,268.0,False,4.036791654039396,False,True,178758.0
BNBUSDT,2022-07-18 04:00:00+00:00,2022-07-18 12:00:00+00:00,2022-07-18 15:45:00+00:00,short,a_room+a_sweep+a_trend_counter+a_vol_expansion+a_volume,a_room+a_sweep+a_trend_counter+a_vol_expansion+a_volume||up||short,-1.032395464873605,-1.032395464873605,268.0,False,4.036791654039396,True,True,-798317.0
XRPUSDT,2022-07-18 12:00:00+00:00,2022-07-18 16:00:00+00:00,2022-07-18 16:30:00+00:00,long,a_trend_counter+a_vol_expansion+a_volume,a_trend_counter+a_vol_expansion+a_volume||up||long,-1.066587970323264,0.1827870296767359,260.0,False,2.4103622724368643,False,True,80879.0
DOGEUSDT,2022-07-18 16:00:00+00:00,2022-07-18 20:00:00+00:00,2022-07-18 20:00:00+00:00,long,a_fvg_absent+a_room+a_volume,a_fvg_absent+a_room+a_volume||up||long,0.9256314762576408,-1.1733185237423274,256.0,False,1.6227227595325122,False,True,-354458.0
SOLUSDT,2022-07-18 16:00:00+00:00,2022-07-18 20:00:00+00:00,2022-07-19 00:00:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,1.0115437382356638,3.8111847534194863,256.0,False,0.996462384418414,False,True,707011.0
XRPUSDT,2022-07-18 20:00:00+00:00,2022-07-20 20:00:00+00:00,2022-07-20 23:45:00+00:00,short,a_room+a_sweep+a_trend_counter+a_vol_expansion+a_volume,a_room+a_sweep+a_trend_counter+a_vol_expansion+a_volume||up||short,0.0267954671222,0.0267954671222,252.0,False,4.036791654039396,True,True,20519.0
DOGEUSDT,2022-07-19 00:00:00+00:00,2022-07-19 04:00:00+00:00,2022-07-19 05:15:00+00:00,short,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||up||short,0.5045805685814785,0.5045805685814785,248.0,False,1.056555032293037,False,True,101129.0
LINKUSDT,2022-07-19 00:00:00+00:00,2022-07-21 00:00:00+00:00,2022-07-21 03:45:00+00:00,short,a_room+a_sweep+a_trend_counter+a_vol_expansion+a_volume,a_room+a_sweep+a_trend_counter+a_vol_expansion+a_volume||up||short,0.6534036653002177,0.6534036653002175,248.0,False,4.036791654039396,True,True,500346.0
ADAUSDT,2022-07-19 00:00:00+00:00,2022-07-19 04:00:00+00:00,2022-07-19 04:00:00+00:00,long,a_trend_counter+a_vol_expansion+a_volume,a_trend_counter+a_vol_expansion+a_volume||up||long,-1.1176055385957266,-1.117605538595725,248.0,False,2.4103622724368643,True,True,-511003.0
DOGEUSDT,2022-07-20 00:00:00+00:00,2022-07-20 08:00:00+00:00,2022-07-20 07:30:00+00:00,long,a_trend_counter+a_vol_expansion+a_volume,a_trend_counter+a_vol_expansion+a_volume||up||long,1.9549707646390024,2.3726128908470208,224.0,False,2.4103622724368643,False,True,1061390.0
ADAUSDT,2022-07-20 00:00:00+00:00,2022-07-22 00:00:00+00:00,2022-07-22 03:45:00+00:00,short,a_room+a_sweep+a_trend_counter+a_vol_expansion+a_volume,a_room+a_sweep+a_trend_counter+a_vol_expansion+a_volume||up||short,1.4228269500561164,1.422826950056116,224.0,False,4.036791654039396,False,True,1065993.0
SOLUSDT,2022-07-20 08:00:00+00:00,2022-07-20 16:00:00+00:00,2022-07-20 16:30:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,0.214754195240474,0.214754195240474,216.0,False,0.996462384418414,False,True,41988.0
DOGEUSDT,2022-07-20 12:00:00+00:00,2022-07-20 16:00:00+00:00,2022-07-20 21:30:00+00:00,short,a_room+a_sweep+a_trend_counter+a_vol_expansion+a_volume,a_room+a_sweep+a_trend_counter+a_vol_expansion+a_volume||up||short,0.2232115786253743,0.2232115786253742,212.0,False,4.036791654039396,False,True,176796.0
AVAXUSDT,2022-07-20 20:00:00+00:00,2022-07-22 20:00:00+00:00,2022-07-22 23:45:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,-0.202996673835843,-0.2029966738358433,204.0,False,0.996462384418414,True,True,-40173.0
DOGEUSDT,2022-07-21 12:00:00+00:00,2022-07-22 16:00:00+00:00,2022-07-22 19:30:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,0.2251186329193854,0.2251186329193859,188.0,False,0.996462384418414,False,True,45673.0
LINKUSDT,2022-07-29 12:00:00+00:00,2022-07-29 20:00:00+00:00,2022-07-29 16:15:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,4.183473346894502,3.773588887984819,668.0,False,0.996462384418414,False,True,805895.0
BNBUSDT,2022-07-30 08:00:00+00:00,2022-07-30 12:00:00+00:00,2022-07-30 19:45:00+00:00,long,a_fvg_absent+a_room+a_vol_expansion,a_fvg_absent+a_room+a_vol_expansion||up||long,0.6129566455696213,0.7928666455696277,648.0,False,4.738254570967402,False,True,387032.0
ADAUSDT,2022-08-05 04:00:00+00:00,2022-08-07 04:00:00+00:00,2022-08-07 07:45:00+00:00,short,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||range||short,-0.1143303951786684,-0.1143303951786684,508.0,False,1.056555032293037,True,True,-27330.0
BTCUSDT,2022-08-05 08:00:00+00:00,2022-08-07 08:00:00+00:00,2022-08-07 11:45:00+00:00,short,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||range||short,0.1190588282149564,0.1190588282149564,504.0,False,1.056555032293037,True,True,28460.0
ETHUSDT,2022-08-09 12:00:00+00:00,2022-08-10 00:00:00+00:00,2022-08-09 22:30:00+00:00,long,a_fvg_absent+a_room+a_volume,a_fvg_absent+a_room+a_volume||up||long,1.9684118922908087,2.450750173333853,404.0,False,1.6227227595325122,False,True,899813.0
SOLUSDT,2022-08-10 12:00:00+00:00,2022-08-10 16:00:00+00:00,2022-08-10 16:15:00+00:00,short,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||range||short,0.9321131205673776,0.0816881205673775,380.0,False,1.056555032293037,False,True,20305.0
BTCUSDT,2022-08-11 20:00:00+00:00,2022-08-12 00:00:00+00:00,2022-08-12 01:30:00+00:00,long,a_fvg_absent+a_room+a_volume,a_fvg_absent+a_room+a_volume||up||long,0.0489659610210007,0.0489659610210007,348.0,False,1.6227227595325122,False,True,17216.0
BNBUSDT,2022-08-13 04:00:00+00:00,2022-08-13 08:00:00+00:00,2022-08-13 09:00:00+00:00,long,a_fvg_absent+a_room+a_volume,a_fvg_absent+a_room+a_volume||up||long,0.8688363291139226,0.4190613291139228,316.0,False,1.6227227595325122,False,True,128455.0
SOLUSDT,2022-08-13 12:00:00+00:00,2022-08-14 00:00:00+00:00,2022-08-14 00:45:00+00:00,long,a_fvg_absent+a_room+a_volume,a_fvg_absent+a_room+a_volume||up||long,0.2081126166547022,0.2081126166547019,308.0,False,1.6227227595325122,False,True,80010.0
BTCUSDT,2022-08-14 08:00:00+00:00,2022-08-14 12:00:00+00:00,2022-08-14 13:15:00+00:00,long,a_fvg_absent+a_room+a_volume,a_fvg_absent+a_room+a_volume||up||long,-1.1665813124496822,-1.1665813124496824,288.0,False,1.6227227595325122,True,True,-450010.0
DOGEUSDT,2022-08-15 00:00:00+00:00,2022-08-15 04:00:00+00:00,2022-08-15 04:00:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,-1.0584104607360183,-1.0584104607360183,272.0,False,0.996462384418414,True,True,-245968.0
ADAUSDT,2022-08-15 12:00:00+00:00,2022-08-17 12:00:00+00:00,2022-08-17 15:45:00+00:00,long,a_mss+a_score_ge13+a_vol_expansion,a_mss+a_score_ge13+a_vol_expansion||range||long,-0.5433914050146841,-0.543391405014684,260.0,False,0.0,True,False,0.0
AVAXUSDT,2022-08-15 16:00:00+00:00,2022-08-15 20:00:00+00:00,2022-08-15 22:45:00+00:00,long,a_fvg_absent+a_ob+a_score_ge13+a_volume,a_fvg_absent+a_ob+a_score_ge13+a_volume||range||long,0.1081345978062167,-1.1412404021937832,256.0,False,2.3594458374095173,False,True,-557395.0
XRPUSDT,2022-08-16 00:00:00+00:00,2022-08-16 04:00:00+00:00,2022-08-16 05:15:00+00:00,long,a_fvg_absent+a_ob+a_score_ge13+a_volume,a_fvg_absent+a_ob+a_score_ge13+a_volume||range||long,0.2559005857544541,0.2559005857544599,248.0,False,2.3594458374095173,False,True,89168.0
BNBUSDT,2022-08-17 00:00:00+00:00,2022-08-17 04:00:00+00:00,2022-08-17 05:00:00+00:00,short,a_room+a_score_ge13+a_volume,a_room+a_score_ge13+a_volume||range||short,-1.0592679508240157,-1.059267950824016,224.0,False,1.274894730091847,True,True,-305306.0
BTCUSDT,2022-08-17 20:00:00+00:00,2022-08-19 00:00:00+00:00,2022-08-19 01:15:00+00:00,long,a_room+a_score_ge13+a_trend_counter,a_room+a_score_ge13+a_trend_counter||down||long,-1.0365782071075031,-1.0365782071075031,204.0,False,4.315614007975119,True,True,-997689.0
BNBUSDT,2022-08-19 04:00:00+00:00,2022-08-21 04:00:00+00:00,2022-08-21 07:45:00+00:00,long,a_room+a_score_ge13+a_trend_counter,a_room+a_score_ge13+a_trend_counter||down||long,1.068523465583635,1.068523465583631,172.0,False,4.315614007975119,False,True,982429.0
ETHUSDT,2022-08-19 08:00:00+00:00,2022-08-19 20:00:00+00:00,2022-08-19 21:45:00+00:00,long,a_room+a_score_ge13+a_trend_counter,a_room+a_score_ge13+a_trend_counter||down||long,-1.0113738996764543,-1.0113738996764543,168.0,False,4.315614007975119,True,True,-929885.0
DOGEUSDT,2022-08-19 20:00:00+00:00,2022-08-21 20:00:00+00:00,2022-08-21 23:45:00+00:00,long,a_room+a_score_ge13+a_trend_counter,a_room+a_score_ge13+a_trend_counter||down||long,-0.1550548025435076,-0.1550548025435051,156.0,False,4.315614007975119,True,True,-136339.0
ETHUSDT,2022-08-21 00:00:00+00:00,2022-08-21 08:00:00+00:00,2022-08-21 08:00:00+00:00,short,a_room+a_score_ge13+a_vol_expansion+a_volume,a_room+a_score_ge13+a_vol_expansion+a_volume||down||short,0.1955806411552645,0.1955806411552646,128.0,False,0.0,False,False,0.0
DOGEUSDT,2022-08-25 20:00:00+00:00,2022-08-26 04:00:00+00:00,2022-08-26 02:15:00+00:00,short,a_room+a_score_ge13+a_volume,a_room+a_score_ge13+a_volume||range||short,0.978065930009102,0.5278409300090963,12.0,True,1.274894730091847,False,False,0.0
LINKUSDT,2022-08-29 12:00:00+00:00,2022-08-29 20:00:00+00:00,2022-08-29 21:15:00+00:00,short,a_mss+a_room+a_volume,a_mss+a_room+a_volume||down||short,-1.0361974797877715,-1.0361974797877715,764.0,False,1.4024953958902748,True,True,-308395.0
BTCUSDT,2022-08-29 16:00:00+00:00,2022-08-31 16:00:00+00:00,2022-08-31 19:45:00+00:00,short,a_mss+a_room+a_volume,a_mss+a_room+a_volume||down||short,0.0851781557673408,0.0851781557673408,760.0,False,1.4024953958902748,True,True,25351.0
ADAUSDT,2022-09-04 00:00:00+00:00,2022-09-06 00:00:00+00:00,2022-09-06 01:00:00+00:00,short,a_room+a_score_ge13+a_volume,a_room+a_score_ge13+a_volume||range||short,-1.0205989771573003,-1.0205989771573003,632.0,False,1.274894730091847,True,True,-272434.0
DOGEUSDT,2022-09-07 08:00:00+00:00,2022-09-10 16:00:00+00:00,2022-09-10 19:45:00+00:00,short,a_mss+a_room+a_volume,a_mss+a_room+a_volume||down||short,-0.7996503708494165,-0.7996503708494205,552.0,False,1.4024953958902748,True,True,-231764.0
BNBUSDT,2022-09-07 12:00:00+00:00,2022-09-09 00:00:00+00:00,2022-09-09 03:30:00+00:00,short,a_mss+a_room+a_volume,a_mss+a_room+a_volume||down||short,-1.0140187332970834,-1.0140187332970836,548.0,False,1.4024953958902748,True,True,-293894.0
BTCUSDT,2022-09-07 16:00:00+00:00,2022-09-09 04:00:00+00:00,2022-09-09 04:00:00+00:00,short,a_mss+a_room+a_volume,a_mss+a_room+a_volume||down||short,-1.0194336318086126,-1.0194336318086126,544.0,False,1.4024953958902748,True,True,-295464.0
